,topic,word,component
0,0,like,1.462
1,0,feel,1.207
2,0,want,0.95
3,0,know,0.9
4,0,need,0.831
5,0,think,0.803
6,0,really,0.759
7,0,time,0.754
8,0,things,0.747
9,0,would,0.735
10,0,feelings,0.676
11,0,get,0.675
12,0,something,0.627
13,0,way,0.592
14,0,going,0.591
15,0,talk,0.589
16,0,make,0.588
17,0,good,0.509
18,0,say,0.496
19,0,someone,0.49
20,1,people,2.074
21,1,poly,1.927
22,1,relationships,0.609
23,1,polyamory,0.603
24,1,monogamous,0.537
25,1,monogamy,0.528
26,1,think,0.508
27,1,one,0.5
28,1,mono,0.485
29,1,like,0.407
30,1,person,0.377
31,1,community,0.375
32,1,polyamorous,0.369
33,1,partners,0.367
34,1,non,0.328
35,1,many,0.319
36,1,friends,0.315
37,1,multiple,0.29
38,1,someone,0.263
39,1,know,0.262
40,2,husband,0.986
41,2,time,0.861
42,2,together,0.666
43,2,boyfriend,0.635
44,2,us,0.605
45,2,family,0.559
46,2,kids,0.489
47,2,night,0.483
48,2,friends,0.474
49,2,years,0.464
50,2,one,0.434
51,2,girlfriend,0.389
52,2,happy,0.387
53,2,day,0.378
54,2,got,0.376
55,2,really,0.375
56,2,home,0.373
57,2,first,0.365
58,2,went,0.365
59,2,year,0.364
60,3,sex,2.772
61,3,sexual,0.754
62,3,partners,0.302
63,3,condoms,0.297
64,3,people,0.294
65,3,risk,0.257
66,3,would,0.24
67,3,think,0.236
68,3,want,0.225
69,3,sexually,0.225
70,3,intimacy,0.214
71,3,tested,0.207
72,3,one,0.198
73,3,get,0.196
74,3,like,0.193
75,3,partner,0.176
76,3,also,0.171
77,3,use,0.169
78,3,drive,0.167
79,3,rules,0.166
80,4,partner,3.092
81,4,partners,0.938
82,4,time,0.907
83,4,meta,0.719
84,4,primary,0.62
85,4,relationship,0.574
86,4,new,0.469
87,4,one,0.437
88,4,date,0.422
89,4,person,0.378
90,4,secondary,0.352
91,4,needs,0.341
92,4,nesting,0.324
93,4,relationships,0.312
94,4,need,0.307
95,4,together,0.303
96,4,someone,0.3
97,4,feel,0.297
98,4,hierarchy,0.29
99,4,dating,0.284
100,5,women,1.247
101,5,date,0.981
102,5,dating,0.969
103,5,unicorn,0.884
104,5,men,0.829
105,5,looking,0.75
106,5,woman,0.615
107,5,people,0.529
108,5,couple,0.515
109,5,profile,0.503
110,5,find,0.484
111,5,triad,0.465
112,5,like,0.425
113,5,bi,0.413
114,5,want,0.404
115,5,interested,0.368
116,5,okc,0.334
117,5,man,0.334
118,5,couples,0.323
119,5,would,0.321
120,6,love,3.335
121,6,happy,0.718
122,6,feel,0.611
123,6,feelings,0.429
124,6,one,0.397
125,6,thank,0.395
126,6,much,0.367
127,6,life,0.366
128,6,jealousy,0.364
129,6,beautiful,0.334
130,6,loving,0.318
131,6,feeling,0.287
132,6,loved,0.279
133,6,person,0.276
134,6,heart,0.274
135,6,nre,0.272
136,6,amazing,0.264
137,6,someone,0.26
138,6,always,0.257
139,6,way,0.251
140,7,wife,2.896
141,7,marriage,0.563
142,7,married,0.351
143,7,gf,0.2
144,7,cheating,0.196
145,7,divorce,0.195
146,7,girlfriend,0.191
147,7,kids,0.18
148,7,would,0.153
149,7,woman,0.141
150,7,op,0.122
151,7,wants,0.116
152,7,man,0.111
153,7,situation,0.107
154,7,spouse,0.105
155,7,us,0.103
156,7,legal,0.103
157,7,poly,0.101
158,7,going,0.101
159,7,husband,0.094
160,8,https,2.073
161,8,morethantwo,0.759
162,8,polyamory,0.669
163,8,html,0.632
164,8,unicorns,0.457
165,8,read,0.336
166,8,coupleprivilege,0.334
167,8,comments,0.321
168,8,us,0.309
169,8,new,0.287
170,8,multiamory,0.281
171,8,opening,0.272
172,8,skipped,0.266
173,8,resources,0.262
174,8,unicorn,0.255
175,8,thank,0.249
176,8,ethical,0.248
177,8,polyamoryschool,0.24
178,8,f1f67abbbd49,0.24
179,8,rules,0.234
180,9,relationship,3.863
181,9,want,1.095
182,9,poly,1.081
183,9,open,1.006
184,9,relationships,0.792
185,9,monogamous,0.642
186,9,would,0.615
187,9,mono,0.568
188,9,years,0.487
189,9,work,0.442
190,9,wants,0.439
191,9,end,0.433
192,9,long,0.422
193,9,person,0.391
194,9,together,0.387
195,9,someone,0.386
196,9,cheating,0.375
197,9,polyamory,0.356
198,9,needs,0.325
199,9,going,0.313
